head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time
13,33,46,46,Random,-9999,9e2b9d0501f064f7,0.5269999504089355,0.4179999828338623,1644975608.263,33,<img src='/static/targets/3-1-2.png' />,<img src='/static/targets/3-8-1.png' />,<img src='/static/targets/1-7-2.png' />,<img src='/static/targets/3-8-1.png' />,<img src='/static/targets/3-1-2.png' />,3-1-2.png,3-8-1.png,1-7-2.png,3-8-1.png,3-1-2.png,13296.96437549591,2022-02-16T01:40:08.263000,1644962311.2986245
11,18,35,18,Random,-9999,8a6025b237d138e4,1.7799999713897705,0.10800004005432129,1644975608.437,35,<img src='/static/targets/2-2-1.png' />,<img src='/static/targets/3-2-2.png' />,<img src='/static/targets/1-6-2.png' />,<img src='/static/targets/2-2-1.png' />,<img src='/static/targets/3-2-2.png' />,2-2-1.png,3-2-2.png,1-6-2.png,2-2-1.png,3-2-2.png,13297.138375520706,2022-02-16T01:40:08.437000,1644962311.2986245
44,40,2,2,Random,-9999,9e2b9d0501f064f7,0.37000012397766113,0.40599989891052246,1644975609.042,40,<img src='/static/targets/3-5-1.png' />,<img src='/static/targets/1-2-1.png' />,<img src='/static/targets/3-7-1.png' />,<img src='/static/targets/1-2-1.png' />,<img src='/static/targets/3-5-1.png' />,3-5-1.png,1-2-1.png,3-7-1.png,1-2-1.png,3-5-1.png,13297.74337553978,2022-02-16T01:40:09.042000,1644962311.2986245
16,17,46,46,Random,-9999,af1e0a9151a8c1b9,1.3270001411437988,0.1269998550415039,1644975609.232,17,<img src='/static/targets/2-1-2.png' />,<img src='/static/targets/3-8-1.png' />,<img src='/static/targets/2-1-1.png' />,<img src='/static/targets/3-8-1.png' />,<img src='/static/targets/2-1-2.png' />,2-1-2.png,3-8-1.png,2-1-1.png,3-8-1.png,2-1-2.png,13297.933375597,2022-02-16T01:40:09.232000,1644962311.2986245
33,27,52,27,Random,-9999,9e2b9d0501f064f7,0.37399983406066895,0.41100001335144043,1644975609.823,52,<img src='/static/targets/2-6-2.png' />,<img src='/static/targets/4-3-1.png' />,<img src='/static/targets/3-1-2.png' />,<img src='/static/targets/2-6-2.png' />,<img src='/static/targets/4-3-1.png' />,2-6-2.png,4-3-1.png,3-1-2.png,2-6-2.png,4-3-1.png,13298.52437543869,2022-02-16T01:40:09.823000,1644962311.2986245
62,51,54,54,Random,-9999,8a6025b237d138e4,1.7960000038146973,0.10199999809265137,1644975610.334,51,<img src='/static/targets/4-2-2.png' />,<img src='/static/targets/4-4-1.png' />,<img src='/static/targets/4-8-1.png' />,<img src='/static/targets/4-4-1.png' />,<img src='/static/targets/4-2-2.png' />,4-2-2.png,4-4-1.png,4-8-1.png,4-4-1.png,4-2-2.png,13299.035375595093,2022-02-16T01:40:10.334000,1644962311.2986245
19,56,23,23,Random,-9999,9e2b9d0501f064f7,0.4219999313354492,0.4100000858306885,1644975611.156,56,<img src='/static/targets/4-5-1.png' />,<img src='/static/targets/2-4-2.png' />,<img src='/static/targets/2-2-2.png' />,<img src='/static/targets/2-4-2.png' />,<img src='/static/targets/4-5-1.png' />,4-5-1.png,2-4-2.png,2-2-2.png,2-4-2.png,4-5-1.png,13299.857375383377,2022-02-16T01:40:11.156000,1644962311.2986245
7,55,22,55,Random,-9999,af1e0a9151a8c1b9,2.2660000324249268,0.12999987602233887,1644975611.717,22,<img src='/static/targets/4-4-2.png' />,<img src='/static/targets/2-4-1.png' />,<img src='/static/targets/1-4-2.png' />,<img src='/static/targets/4-4-2.png' />,<img src='/static/targets/2-4-1.png' />,4-4-2.png,2-4-1.png,1-4-2.png,4-4-2.png,2-4-1.png,13300.418375492096,2022-02-16T01:40:11.717000,1644962311.2986245
24,25,2,25,Random,-9999,b50cfd9a05b909d2,5.477999925613403,0.309999942779541,1644975611.856,2,<img src='/static/targets/2-5-2.png' />,<img src='/static/targets/1-2-1.png' />,<img src='/static/targets/2-5-1.png' />,<img src='/static/targets/2-5-2.png' />,<img src='/static/targets/1-2-1.png' />,2-5-2.png,1-2-1.png,2-5-1.png,2-5-2.png,1-2-1.png,13300.55737543106,2022-02-16T01:40:11.856000,1644962311.2986245
4,21,40,21,Random,-9999,9e2b9d0501f064f7,0.5969998836517334,0.9060001373291016,1644975612.16,40,<img src='/static/targets/2-3-2.png' />,<img src='/static/targets/3-5-1.png' />,<img src='/static/targets/1-3-1.png' />,<img src='/static/targets/2-3-2.png' />,<img src='/static/targets/3-5-1.png' />,2-3-2.png,3-5-1.png,1-3-1.png,2-3-2.png,3-5-1.png,13300.861375570297,2022-02-16T01:40:12.160000,1644962311.2986245
51,42,39,42,Random,-9999,8a6025b237d138e4,2.441999912261963,0.10299992561340332,1644975612.973,39,<img src='/static/targets/3-6-1.png' />,<img src='/static/targets/3-4-2.png' />,<img src='/static/targets/4-2-2.png' />,<img src='/static/targets/3-6-1.png' />,<img src='/static/targets/3-4-2.png' />,3-6-1.png,3-4-2.png,4-2-2.png,3-6-1.png,3-4-2.png,13301.674375534058,2022-02-16T01:40:12.973000,1644962311.2986245
49,37,27,27,Random,-9999,9e2b9d0501f064f7,0.5279998779296875,0.4160001277923584,1644975613.1,37,<img src='/static/targets/3-3-2.png' />,<img src='/static/targets/2-6-2.png' />,<img src='/static/targets/4-1-2.png' />,<img src='/static/targets/2-6-2.png' />,<img src='/static/targets/3-3-2.png' />,3-3-2.png,2-6-2.png,4-1-2.png,2-6-2.png,3-3-2.png,13301.8013753891,2022-02-16T01:40:13.100000,1644962311.2986245
22,61,40,61,Validation,1,af1e0a9151a8c1b9,2.4059998989105225,0.23399996757507324,1644975614.365,40,<img src='/static/targets/4-7-2.png' />,<img src='/static/targets/3-5-1.png' />,<img src='/static/targets/2-4-1.png' />,<img src='/static/targets/4-7-2.png' />,<img src='/static/targets/3-5-1.png' />,4-7-2.png,3-5-1.png,2-4-1.png,4-7-2.png,3-5-1.png,13303.066375494003,2022-02-16T01:40:14.365000,1644962311.2986245
51,15,47,47,Random,-9999,8a6025b237d138e4,1.3479998111724854,0.19800019264221191,1644975614.426,15,<img src='/static/targets/1-8-2.png' />,<img src='/static/targets/3-8-2.png' />,<img src='/static/targets/4-2-2.png' />,<img src='/static/targets/3-8-2.png' />,<img src='/static/targets/1-8-2.png' />,1-8-2.png,3-8-2.png,4-2-2.png,3-8-2.png,1-8-2.png,13303.127375602722,2022-02-16T01:40:14.426000,1644962311.2986245
23,3,44,3,Random,-9999,b6e795645db9fb25,7.359999895095825,0.21399998664855957,1644975614.663,44,<img src='/static/targets/1-2-2.png' />,<img src='/static/targets/3-7-1.png' />,<img src='/static/targets/2-4-2.png' />,<img src='/static/targets/1-2-2.png' />,<img src='/static/targets/3-7-1.png' />,1-2-2.png,3-7-1.png,2-4-2.png,1-2-2.png,3-7-1.png,13303.364375591278,2022-02-16T01:40:14.663000,1644962311.2986245
33,11,25,25,Random,-9999,9e2b9d0501f064f7,1.178999900817871,0.43000006675720215,1644975614.706,11,<img src='/static/targets/1-6-2.png' />,<img src='/static/targets/2-5-2.png' />,<img src='/static/targets/3-1-2.png' />,<img src='/static/targets/2-5-2.png' />,<img src='/static/targets/1-6-2.png' />,1-6-2.png,2-5-2.png,3-1-2.png,2-5-2.png,1-6-2.png,13303.407375574112,2022-02-16T01:40:14.706000,1644962311.2986245
60,8,35,8,Random,-9999,9e2b9d0501f064f7,0.5500001907348633,0.40199995040893555,1644975615.667,35,<img src='/static/targets/1-5-1.png' />,<img src='/static/targets/3-2-2.png' />,<img src='/static/targets/4-7-1.png' />,<img src='/static/targets/1-5-1.png' />,<img src='/static/targets/3-2-2.png' />,1-5-1.png,3-2-2.png,4-7-1.png,1-5-1.png,3-2-2.png,13304.36837553978,2022-02-16T01:40:15.667000,1644962311.2986245
43,18,14,14,Random,-9999,8a6025b237d138e4,1.686000108718872,0.10199999809265137,1644975616.212,18,<img src='/static/targets/2-2-1.png' />,<img src='/static/targets/1-8-1.png' />,<img src='/static/targets/3-6-2.png' />,<img src='/static/targets/1-8-1.png' />,<img src='/static/targets/2-2-1.png' />,2-2-1.png,1-8-1.png,3-6-2.png,1-8-1.png,2-2-1.png,13304.913375377655,2022-02-16T01:40:16.212000,1644962311.2986245
49,43,14,43,Random,-9999,af1e0a9151a8c1b9,1.8240001201629639,0.23399996757507324,1644975616.323,14,<img src='/static/targets/3-6-2.png' />,<img src='/static/targets/1-8-1.png' />,<img src='/static/targets/4-1-2.png' />,<img src='/static/targets/3-6-2.png' />,<img src='/static/targets/1-8-1.png' />,3-6-2.png,1-8-1.png,4-1-2.png,3-6-2.png,1-8-1.png,13305.02437543869,2022-02-16T01:40:16.323000,1644962311.2986245
12,16,35,16,Random,-9999,9e2b9d0501f064f7,0.7360000610351562,0.41700005531311035,1644975616.819,35,<img src='/static/targets/2-1-1.png' />,<img src='/static/targets/3-2-2.png' />,<img src='/static/targets/1-7-1.png' />,<img src='/static/targets/2-1-1.png' />,<img src='/static/targets/3-2-2.png' />,2-1-1.png,3-2-2.png,1-7-1.png,2-1-1.png,3-2-2.png,13305.520375490189,2022-02-16T01:40:16.819000,1644962311.2986245
7,11,35,11,Random,-9999,8a6025b237d138e4,1.5169999599456787,0.10299992561340332,1644975617.834,35,<img src='/static/targets/1-6-2.png' />,<img src='/static/targets/3-2-2.png' />,<img src='/static/targets/1-4-2.png' />,<img src='/static/targets/1-6-2.png' />,<img src='/static/targets/3-2-2.png' />,1-6-2.png,3-2-2.png,1-4-2.png,1-6-2.png,3-2-2.png,13306.535375595093,2022-02-16T01:40:17.834000,1644962311.2986245
21,7,1,7,Random,-9999,9e2b9d0501f064f7,0.5879998207092285,0.4200000762939453,1644975617.832,1,<img src='/static/targets/1-4-2.png' />,<img src='/static/targets/1-1-2.png' />,<img src='/static/targets/2-3-2.png' />,<img src='/static/targets/1-4-2.png' />,<img src='/static/targets/1-1-2.png' />,1-4-2.png,1-1-2.png,2-3-2.png,1-4-2.png,1-1-2.png,13306.533375501633,2022-02-16T01:40:17.832000,1644962311.2986245
10,4,36,36,Random,-9999,9e2b9d0501f064f7,0.6040000915527344,0.4289999008178711,1644975618.871,4,<img src='/static/targets/1-3-1.png' />,<img src='/static/targets/3-3-1.png' />,<img src='/static/targets/1-6-1.png' />,<img src='/static/targets/3-3-1.png' />,<img src='/static/targets/1-3-1.png' />,1-3-1.png,3-3-1.png,1-6-1.png,3-3-1.png,1-3-1.png,13307.572375535965,2022-02-16T01:40:18.871000,1644962311.2986245
8,4,5,4,Random,-9999,8a6025b237d138e4,1.6019999980926514,0.10400009155273438,1644975619.538,5,<img src='/static/targets/1-3-1.png' />,<img src='/static/targets/1-3-2.png' />,<img src='/static/targets/1-5-1.png' />,<img src='/static/targets/1-3-1.png' />,<img src='/static/targets/1-3-2.png' />,1-3-1.png,1-3-2.png,1-5-1.png,1-3-1.png,1-3-2.png,13308.239375591278,2022-02-16T01:40:19.538000,1644962311.2986245
